Category Identifier;Category Name;Category Path;Category Name (de);Category Name (en);Category Path (en)
1537ffb4-0189-4a9c-9a7a-458ddead1344;Lorry (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Lorry (machine-generated)";Lorry (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Lorry (machine-generated)"
d286eb80-e6b2-436e-8a43-fd081536e696;Candy (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Candy (machine-generated)";Candy (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Candy (machine-generated)"
ce850b02-20e0-4666-a576-c33f6850415a;Sky (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Sky (machine-generated)";Sky (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Sky (machine-generated)"
cc1b9d8a-b008-47b6-aa04-801719e4c19a;Cooperation (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Cooperation (machine-generated)";Cooperation (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Cooperation (machine-generated)"
663274fb-4e6f-4a90-8ea0-7b601795caf6;Amsterdam;Asset\ETHBIB.Bildarchiv\Subject headings\Place\Political geography\Europe without Switzerland\Netherlands\North Holland\Amsterdam;Amsterdam;Asset\ETHBIB.Bildarchiv\Subject headings\Place\Political geography\Europe without Switzerland\Netherlands\North Holland\Amsterdam
c1682f72-b3f1-45ff-8dd4-8478790707c0;Luggage (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Luggage (machine-generated)";Luggage (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Luggage (machine-generated)"
52dadf4c-2003-43b2-98c4-b17b7dd6adab;Departure (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Departure (machine-generated)";Departure (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Departure (machine-generated)"
dea1882d-6694-48ff-a7c9-aedc15cf7526;Seat (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Seat (machine-generated)";Seat (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Seat (machine-generated)"
b625441c-abce-49bd-bf0c-267d479a1f22;Helicopters;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Aircrafts\Helicopters;Helicopters;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Aircrafts\Helicopters
ad7d1375-36c8-4e5b-b378-5a27633b4635;McDonnell Douglas DC-9-32, HB-IFF Fribourg;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\McDonnell Douglas\McDonnell Douglas DC-9-32, HB-IFF Fribourg;McDonnell Douglas DC-9-32, HB-IFF Fribourg;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\McDonnell Douglas\McDonnell Douglas DC-9-32, HB-IFF Fribourg
