title,date,name,role,img,party
L'UDC Andrey Nazheskin est consul honoraire de Biélorussie en Suisse,04 mai 2023,Andrey Nazheskin,Député en ville de Fribourg,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAndrey_Nazheskin_1_ceff1a644e.jpg&w=3840&q=75,UDC - FR
L'UDC Genève tient des propos diffamatoires sur l'univeristé,03 août 2023,UDC Genève,Section cantonale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLogo_UDC_GE_CH_200_44934ef952.png&w=3840&q=75,UDC - GE
L'UDC Lucerne s'allie à Mass-Voll pour les élections fédérales 2023,02 août 2023,SVP Luzern,Section cantonale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - LU
L’UDC Manfred Bühler remet en cause l’urgence climatique ,06 août 2024,Manfred Bühler,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FManfred_Buehler_e241335467.png&w=3840&q=75,UDC - BE
L’UDC Philippe Mägerle sanctionné pour avoir insulté le Parti du Travail,07 juin 2001,Philippe P. Mägerle,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fquestion_mark_vector_icon_4037039933_4a92b66344.jpg&w=3840&q=75,UDC - GE
L'UDC Roger Köppel a rencontré le Premier ministre hongrois Viktor Orbán,18 novembre 2023,Roger Köppel,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FKoeppel2_d7d9d62ef9.png&w=3840&q=75,UDC - ZH
L'UDC Soleure s'allie à Mass-Voll pour les élections fédérales 2023,31 juillet 2023,SVP Solothurn,Section cantonale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - SO
L'UDC Vaud refuse de s'unir aux partis contre l’antisémitisme et l’islamophobie,23 novembre 2023,UDC Vaud,Section cantonale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - VD
L'UDC Widen condamnée pour ses slogans racistes sur internet,19 février 2013,SVP Widen,Section locale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - AG
L'UDC Zurich présente une initiative en matière de logement assortie d'une clause sur les étrangers,24 juin 2025,SVP Zuerich,SVP Zuerich Stadt,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - ZH
